문항번호,평가영역,하위지표,학생답변,정답,정오,피드백
1,이해 력,사실적 이해,5,5,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
2,이해 력,추론적 이해,4,4,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
3,이해 력,사실적 이해,4,4,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
4,의사 소통 능력,표현과 전달능 력,5,5,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
5,심미 적 감 수성,문학적 표현,5,5,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
6,심미 적 감 수성,문학적 가치,2,4,오답,이 선택지는 인간의 우월성이 아니라 계층화를 의미합니다. 학생은 문학적 가치에 대한 이해 능력이 부족하여 이 선지 를 고른 것으로 보입니다. 따라서 오답입니다.
7,이해 력,사실적 이해,2,2,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
8,이해 력,비판적 이해,2,2,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
9,이해 력,추론적 이해,2,2,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
10,이해 력,비판적 이해,5,5,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
11,심미 적 감 수성,정서적 공감,3,3,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
12,의사 소통 능력,사회적 상호작 용,5,5,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
13,이해 력,추론적 이해,4,2,오답,이 선택지는 신하가 말을 잘한다는 것은 혀의 역할을 강조 한 것입니다. 학생은 추론적 이해 능력이 부족하여 이 선지 를 고른 것으로 보입니다. 따라서 오답입니다.
14,심미 적 감 수성,문학적 표현,4,4,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
15,심미 적 감 수성,문학적 표현,5,5,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
16,의사 소통 능력,창의적 문제해 결,2,2,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
17,심미 적 감 수성,정서적 공감,1,2,오답,이 선택지는 협력보다는 갈등이 먼저 발생합니다. 학생은 정서적 공감 능력이 부족하여 이 선지를 고른 것으로 보입 니다. 따라서 오답입니다.
18,심미 적 감 수성,문학적 가치,1,1,정답,지문을 정확히 이해하고 정답을 선택하였습니다.
